Year,Number
1790,1128
1850,1240
1863,1914
1886,1931
1890,2271
1897,2581
1900,1075
1907,1154
1922,3131
1928,8881
1936,10236
1937,11627
1942,12942
1952,35000
1955,40407
1964,151897
1968,166445
1977,253497
1980,275779
1991,325000
2000,340305
2001,340305
2002,340046
2003,340406
2004,340406
2005,340406
2006,340406
2007,340406
2008,340406
2009,340406
2010,340406
2011,340406
2012,340406
2013,340406
2014,483000
2015,432724
2016,521446
2017,521446
2018,521446
2019,512760
2020,589416
2021,607932
2022,761405
2023,890843
