columna_x,columna_y1,columna_y2,columna_y3,columna_y4
2000,8684055,26,591,
2001,8728018,25,592,
2002,8789213,25,593,
2003,8850099,24,594,
2004,8906457,25,595,
2005,8956691,24,596,
2006,8997589,25,597,
2007,9005789,25,605,
2008,9017917,24,622,
2009,9027354,25,626,
2010,9031008,26,593,
2011,9057184,25,610,
2012,9091276,26,631,
2013,9112948,25,650,
2014,9129918,26,638,
2015,9132501,31,645,0.91
2016,9171855,32,647,0.9706
2017,9221709,32,608,4.601
2018,9271703,33,599,2.11
2019,9320728,32,576,3.198
2020,9365304,34,436,2.216
2021,9299892,36,503,6.123
2022,9245415,39,464,3.471
2023,9229871,43,543,11.976
