Population	8684055	8728018	8789213	8850099	8906457	8956691	8997589	9005789	9017917	9027354	9031008	9057184	9091276	9112948	9129918	9132501	9171855	9221709	9271703	9320728	9365304	9299892	9245415	9229871
Human Development Index	0.783	0.786	0.793	0.799	0.804	0.808	0.817	0.818	0.821	0.821	0.823	0.826	0.832	0.829	0.831	0.833	0.831	0.834	0.837	0.839	0.814	0.813	0.839	0.837
Security perception at night	51.19453925	51.19453925	51.19453925	51.19453925	51.19453925	51.19453925	51.96	52.73	53.51	54.27509294	54.18023869	55.91730425	53.00092308	50.69925902	52.11984719	50.91335573	51.74035748	54.81797503	63.05766911	59.43944914	54.13696827	60.44375017	47.01250021	45.51519034
Crime rate	51813.24	51873.55837	51742.85448	52890.26418	54011.9799	54545.04791	54464.31138	53855.75729	53334.17347	53293.42857	44055	40790	49198	51786	59545	52718	49913	68954	69716	62008	53334	45336	46032	52723
Luminaires	340305	340305	340046	340406	340406	354665.4	368924.8	383184.2	397443.6	411703	425962.4	440221.8	454481.2	468740.6	483000	432724	521446	521446	521446	512760	589416	607932	761405	890843
Electricity CO2 EF	0.6043	0.6188	0.6046	0.608	0.5484	0.5557	0.5246	0.5171	0.4698	0.5057	0.4946	0.5002	0.5165	0.4999	0.454	0.454	0.454	0.582	0.527	0.505	0.494	0.423	0.435	0.438
Light pollution	25.54526033	24.78102857	25.40256933	24.01554936	24.66357003	23.87534759	24.53801443	24.6006363	24.39532911	24.86857104	25.93812694	25.33870002	25.88868	25.21408	26.19042	31.16161	32.02669	32.13233	32.87984	32.45403	33.71493	36.31649	39.44335	42.57048
Blackouts	0.91	0.91	0.91	0.91	0.91	0.91	0.91	0.91	0.91	0.91	0.91	0.91	0.91	0.91	0.91	0.91	0.9706	4.601	2.11	3.198	2.216	6.123	3.471	11.976
Lighting energy consumption	591.3828547	592.3646252	593.3910217	594.4174181	595.4438146	596.470211	596.9164703	604.6813826	622.2639999	626.3695856	592.9447624	609.9026166	630.5197973	649.887452	638.1508318	645.4694847	647.077	607.8498237	599.4155225	576.1207859	435.8074094	502.8003791	463.757312	543.3653516
Monetary resources	1	1	1	1	1	1	1	1	1	1	1	1	7	123	2600	1	1	1	1	1600	1	1	1	151
Urban extension	1229.77	1328.161	1426.552	1524.943	1623.334	1721.725	1820.116	1918.507	2016.898	2115.289	2213.68	2234.564286	2255.448571	2276.332857	2297.217143	2318.101429	2338.985714	2359.87	2497.405714	2655.825714	2835.13	2835.13	2835.13	2835.13
